Gene	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism
5S_rRNA	NA	NA	NA	NA	NA
6M1-18	NA	NA	NA	NA	NA
7SK	NA	NA	NA	NA	NA
A1CF	NA	NA	NA	NA	NA
A2MP1	NA	NA	NA	NA	NA
A4GALT	NA	NA	NA	NA	NA
AACS	NA	NA	NA	NA	NA
AACSP1	NA	NA	NA	NA	NA
AADACL3	NA	NA	NA	NA	NA
AADACL4	NA	NA	NA	NA	NA
AADAT	NA	NA	NA	NA	NA
AAED1	NA	NA	NA	NA	NA
AAK1	NA	NA	NA	NA	NA
AAMDC	0	0	0	0	0
AAR2	NA	NA	NA	NA	NA
AARD	NA	NA	NA	NA	NA
AASDH	NA	NA	NA	NA	NA
AASDHPPT	NA	NA	NA	NA	NA
AASS	NA	NA	NA	NA	NA
AATF	NA	NA	NA	NA	NA
AB062083	NA	NA	NA	NA	NA
AB074160	NA	NA	NA	NA	NA
AB074188	NA	NA	NA	NA	NA
AB231702	NA	NA	NA	NA	NA
AB231723	NA	NA	NA	NA	NA
AB231724	NA	NA	NA	NA	NA
AB231731	NA	NA	NA	NA	NA
AB231741	NA	NA	NA	NA	NA
AB231761	NA	NA	NA	NA	NA
ABAT	NA	NA	NA	NA	NA
ABCA1	NA	NA	NA	NA	NA
ABCA10	NA	NA	NA	NA	NA
ABCA11P	NA	NA	NA	NA	NA
ABCA13	NA	NA	NA	NA	NA
ABCA5	NA	NA	NA	NA	NA
ABCA8	NA	NA	NA	NA	NA
ABCA9	NA	NA	NA	NA	NA
ABCB1	NA	NA	NA	NA	NA
ABCB10	NA	NA	NA	NA	NA
ABCB4	NA	NA	NA	NA	NA
ABCB5	NA	NA	NA	NA	NA
ABCB9	0	0	0	0	0
ABCC11	NA	NA	NA	NA	NA
ABCC12	NA	NA	NA	NA	NA
ABCC13	NA	NA	NA	NA	NA
ABCC3	NA	NA	NA	NA	NA
ABCC4	NA	NA	NA	NA	NA
ABCC8	0	0	0	1	0
ABCC9	1	0	0	0	1
ABCD2	NA	NA	NA	NA	NA
ABCF1	NA	NA	NA	NA	NA
ABCG2	NA	NA	NA	NA	NA
ABCG4	NA	NA	NA	NA	NA
ABHD12	NA	NA	NA	NA	NA
ABHD13	NA	NA	NA	NA	NA
ABHD15	NA	NA	NA	NA	NA
ABHD16A	0	0	0	0	0
ABHD17C	0	0	0	0	0
ABHD2	NA	NA	NA	NA	NA
ABHD3	NA	NA	NA	NA	NA
ABHD5	NA	NA	NA	NA	NA
ABHD6	NA	NA	NA	NA	NA
ABI1	NA	NA	NA	NA	NA
ABI2	0	0	0	0	0
ABI3BP	0	0	0	0	0
ABL1	NA	NA	NA	NA	NA
ABLIM1	NA	NA	NA	NA	NA
ABO	0	0	0	0	0
ABRA	NA	NA	NA	NA	NA
ABTB1	NA	NA	NA	NA	NA
AC002117.1	0	0	0	0	0
AC003973.4	0	0	0	0	0
AC003973.5	0	0	0	0	0
AC004156.3	0	0	0	0	0
AC004920.2	0	0	0	0	0
AC004920.3	0	0	0	0	0
AC005027.3	0	0	0	0	0
AC005592.2	0	0	0	0	0
AC005609.2	0	0	0	0	0
AC006369.2	0	0	0	0	0
AC007381.2	0	0	0	0	0
AC007563.5	0	0	0	0	0
AC007796.1	0	0	0	0	0
AC007969.5	0	0	0	0	0
AC008397.1	0	0	0	0	0
AC009120.4	0	0	0	0	0
AC009480.4	0	0	0	0	0
AC009498.1	0	0	0	0	0
AC010504.2	0	0	0	0	0
AC010967.2	0	0	0	0	0
AC011518.1	0	0	0	0	0
AC011518.2	0	0	0	0	0
AC012065.7	0	0	0	0	0
AC012462.1	0	0	0	0	0
AC016727.1	0	0	0	0	0
AC016727.3	0	0	0	0	0
AC017083.3	0	0	0	0	0
AC018720.10	0	0	0	0	0
AC018866.1	0	0	0	0	0
AC018890.6	0	0	0	0	0
AC019100.3	0	0	0	0	0
AC021218.2	0	0	0	0	0
AC022431.1	0	0	0	0	0
AC022431.2	0	0	0	0	0
AC023347.1	0	0	0	0	0
AC023347.2	0	0	0	0	0
AC023669.1	0	0	0	0	0
AC053503.11	0	0	0	0	0
AC067959.1	0	0	0	0	0
AC068138.1	0	0	0	0	0
AC068196.1	0	0	0	0	0
AC069368.3	0	0	0	0	0
AC073072.5	0	0	0	0	0
AC073072.6	0	0	0	0	0
AC073072.7	0	0	0	0	0
AC073115.6	0	0	0	0	0
AC073218.1	0	0	0	0	0
AC074008.1	0	0	0	0	0
AC074091.13	0	0	0	0	0
AC074391.1	0	0	0	0	0
AC079305.11	0	0	0	0	0
AC079613.1	0	0	0	0	0
AC079767.3	0	0	0	0	0
AC079767.4	0	0	0	0	0
AC083949.1	0	0	0	0	0
AC091948.1	0	0	0	0	0
AC092364.4	0	0	0	0	0
AC092684.1	0	0	0	0	0
AC093106.4	0	0	0	0	0
AC093106.7	0	0	0	0	0
AC093388.3	0	0	0	0	0
AC096971.1	0	0	0	0	0
AC097495.2	0	0	0	0	0
AC098831.4	0	0	0	0	0
AC099535.4	0	0	0	0	0
AC104820.2	0	0	0	0	0
AC106053.1	0	0	0	0	0
AC110283.1	0	0	0	0	0
AC156455.1	0	0	0	0	0
AC2	NA	NA	NA	NA	NA
ACAA1	NA	NA	NA	NA	NA
ACAA2	NA	NA	NA	NA	NA
ACACA	NA	NA	NA	NA	NA
ACACB	NA	NA	NA	NA	NA
ACAD8	NA	NA	NA	NA	NA
ACADM	NA	NA	NA	NA	NA
ACADSB	NA	NA	NA	NA	NA
ACAN	NA	NA	NA	NA	NA
ACAP2	NA	NA	NA	NA	NA
ACAP3	0	0	0	0	0
ACAT1	NA	NA	NA	NA	NA
ACBD3	NA	NA	NA	NA	NA
ACBD4	3	0	0	0	0
ACBD5	NA	NA	NA	NA	NA
ACBD7	NA	NA	NA	NA	NA
ACCS	NA	NA	NA	NA	NA
ACE	3	0	0	0	3
ACER1	NA	NA	NA	NA	NA
ACHE	0	0	0	1	2
ACMSD	0	0	0	0	0
ACN9	NA	NA	NA	NA	NA
ACO1	NA	NA	NA	NA	NA
ACOT11	NA	NA	NA	NA	NA
ACOT4	NA	NA	NA	NA	NA
ACOT6	NA	NA	NA	NA	NA
ACOT8	NA	NA	NA	NA	NA
ACOX1	0	0	0	0	0
ACOX2	NA	NA	NA	NA	NA
ACOX3	NA	NA	NA	NA	NA
ACOXL	NA	NA	NA	NA	NA
ACP6	NA	NA	NA	NA	NA
ACPP	NA	NA	NA	NA	NA
ACRBP	NA	NA	NA	NA	NA
ACRV1	NA	NA	NA	NA	NA
ACSBG1	NA	NA	NA	NA	NA
ACSBG2	NA	NA	NA	NA	NA
ACSF2	NA	NA	NA	NA	NA
ACSF3	NA	NA	NA	NA	NA
